No,Timestamp,Date,Time,Power (W),Energy (kWh),Hourly Cost (৳)
55,Fri Nov 21 2025 22:06:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:06:41,0,0,0
56,Fri Nov 21 2025 22:06:37 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:06:37,0,0,0
57,Fri Nov 21 2025 22:05:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:05:38,0,0,0
58,Fri Nov 21 2025 22:04:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:04:38,0,0,0
59,Fri Nov 21 2025 22:03:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:03:38,0,0,0
60,Fri Nov 21 2025 22:02:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:02:38,0,0,0
61,Fri Nov 21 2025 22:01:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:01:38,0,0,0
62,Fri Nov 21 2025 22:00:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:00:38,0,0,0
63,Fri Nov 21 2025 21:59:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:59:38,0,0,0
64,Fri Nov 21 2025 21:58:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:58:38,0,0,0
65,Fri Nov 21 2025 21:57:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:57:38,0,0,0
66,Fri Nov 21 2025 21:56:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:56:38,0,0,0
67,Fri Nov 21 2025 21:55:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:55:38,0,0,0
68,Fri Nov 21 2025 21:54:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:54:38,0,0,0
69,Fri Nov 21 2025 21:53:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:53:38,0,0,0
70,Fri Nov 21 2025 21:52:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:52:38,0,0,0
71,Fri Nov 21 2025 21:51:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:51:38,0,0,0
72,Fri Nov 21 2025 21:50:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:50:38,0,0,0
73,Fri Nov 21 2025 21:49:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:49:38,0,0,0
74,Fri Nov 21 2025 21:48:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:48:38,0,0,0
75,Fri Nov 21 2025 21:47:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:47:38,0,0,0
76,Fri Nov 21 2025 21:46:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:46:38,0,0,0
77,Fri Nov 21 2025 21:45:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:45:38,16.6,0.361,0.157
78,Fri Nov 21 2025 21:44:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:44:38,34.9,0.7585,0.329
79,Fri Nov 21 2025 21:43:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:43:38,16.4,0.3562,0.155
80,Fri Nov 21 2025 21:42:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:42:38,16.4,0.3559,0.155
81,Fri Nov 21 2025 21:41:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:41:38,16.4,0.3556,0.155
82,Fri Nov 21 2025 21:40:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:40:38,34.4,0.7453,0.324
83,Fri Nov 21 2025 21:40:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:40:06,34.4,0.7453,0.324
84,Fri Nov 21 2025 21:40:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:40:01,16.3,0.3532,0.154
85,Fri Nov 21 2025 21:39:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:56,16.3,0.3529,0.154
86,Fri Nov 21 2025 21:39:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:51,16.3,0.3529,0.154
87,Fri Nov 21 2025 21:39:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:46,16.3,0.3529,0.154
88,Fri Nov 21 2025 21:39:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:41,16.3,0.3529,0.154
89,Fri Nov 21 2025 21:39:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:36,16.3,0.3529,0.154
90,Fri Nov 21 2025 21:39:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:31,16.3,0.3529,0.154
91,Fri Nov 21 2025 21:39:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:26,16.3,0.3529,0.154
92,Fri Nov 21 2025 21:39:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:21,16.3,0.3529,0.154
93,Fri Nov 21 2025 21:39:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:16,16.3,0.3529,0.154
94,Fri Nov 21 2025 21:39:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:11,16.3,0.3529,0.154
95,Fri Nov 21 2025 21:39:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:06,16.3,0.3529,0.154
96,Fri Nov 21 2025 21:39:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:39:01,16.3,0.3529,0.154
97,Fri Nov 21 2025 21:38:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:56,32.9,0.7117,0.31
98,Fri Nov 21 2025 21:38:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:51,32.9,0.7117,0.31
99,Fri Nov 21 2025 21:38:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:46,32.9,0.7117,0.31
100,Fri Nov 21 2025 21:38:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:41,32.9,0.7117,0.31
101,Fri Nov 21 2025 21:38:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:36,32.9,0.7117,0.31
102,Fri Nov 21 2025 21:38:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:31,32.9,0.7117,0.31
103,Fri Nov 21 2025 21:38:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:26,32.9,0.7117,0.31
104,Fri Nov 21 2025 21:38:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:21,32.9,0.7117,0.31
105,Fri Nov 21 2025 21:38:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:16,32.9,0.7117,0.31
106,Fri Nov 21 2025 21:38:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:11,32.9,0.7117,0.31
107,Fri Nov 21 2025 21:38:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:06,32.9,0.7117,0.31
108,Fri Nov 21 2025 21:38:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:38:01,32.9,0.7117,0.31
109,Fri Nov 21 2025 21:37:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:56,32.9,0.7112,0.31
110,Fri Nov 21 2025 21:37:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:51,32.9,0.7112,0.31
111,Fri Nov 21 2025 21:37:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:46,32.9,0.7112,0.31
112,Fri Nov 21 2025 21:37:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:41,32.9,0.7112,0.31
113,Fri Nov 21 2025 21:37:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:36,32.9,0.7112,0.31
114,Fri Nov 21 2025 21:37:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:31,32.9,0.7112,0.31
115,Fri Nov 21 2025 21:37:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:26,32.9,0.7112,0.31
116,Fri Nov 21 2025 21:37:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:21,32.9,0.7112,0.31
117,Fri Nov 21 2025 21:37:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:16,32.9,0.7112,0.31
118,Fri Nov 21 2025 21:37:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:11,32.9,0.7112,0.31
119,Fri Nov 21 2025 21:37:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:06,32.9,0.7112,0.31
120,Fri Nov 21 2025 21:37:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:37:01,32.9,0.7112,0.31
121,Fri Nov 21 2025 21:36:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:56,32.9,0.7106,0.31
122,Fri Nov 21 2025 21:36:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:51,32.9,0.7106,0.31
123,Fri Nov 21 2025 21:36:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:46,32.9,0.7106,0.31
124,Fri Nov 21 2025 21:36:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:41,32.9,0.7106,0.31
125,Fri Nov 21 2025 21:36:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:36,32.9,0.7106,0.31
126,Fri Nov 21 2025 21:36:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:31,32.9,0.7106,0.31
127,Fri Nov 21 2025 21:36:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:26,32.9,0.7106,0.31
128,Fri Nov 21 2025 21:36:24 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:24,32.9,0.7106,0.31
129,Fri Nov 21 2025 21:36:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:21,32.9,0.7106,0.31
130,Fri Nov 21 2025 21:36:20 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:20,32.9,0.7106,0.31
131,Fri Nov 21 2025 21:36:17 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:17,32.9,0.7106,0.31
132,Fri Nov 21 2025 21:36:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:16,32.9,0.7106,0.31
133,Fri Nov 21 2025 21:36:13 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:13,32.9,0.7106,0.31
134,Fri Nov 21 2025 21:36:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:11,32.9,0.7106,0.31
135,Fri Nov 21 2025 21:36:09 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:09,32.9,0.7106,0.31
136,Fri Nov 21 2025 21:36:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:06,32.9,0.7106,0.31
137,Fri Nov 21 2025 21:36:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:06,32.9,0.7106,0.31
138,Fri Nov 21 2025 21:36:03 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:03,32.9,0.7106,0.31
139,Fri Nov 21 2025 21:36:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:01,32.9,0.7106,0.31
140,Fri Nov 21 2025 21:35:59 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:59,32.9,0.7101,0.31
141,Fri Nov 21 2025 21:35:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:56,32.9,0.7101,0.31
142,Fri Nov 21 2025 21:35:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:56,32.9,0.7101,0.31
143,Fri Nov 21 2025 21:35:52 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:52,32.9,0.7101,0.31
144,Fri Nov 21 2025 21:35:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:51,32.9,0.7101,0.31
145,Fri Nov 21 2025 21:35:49 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:49,32.9,0.7101,0.31
146,Fri Nov 21 2025 21:35:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:46,32.9,0.7101,0.31
147,Fri Nov 21 2025 21:35:45 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:45,32.9,0.7101,0.31
148,Fri Nov 21 2025 21:35:42 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:42,32.9,0.7101,0.31
149,Fri Nov 21 2025 21:35:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:41,32.9,0.7101,0.31
150,Fri Nov 21 2025 21:35:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:35:38,32.9,0.7101,0.31
